img_file,context,generated_caption,clipscore_gpt4o,context_sim,article_text,clipscore,saliency,bertscore_r
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",Advertising,"A group of soccer players wearing blue Olympique Lyonnais uniforms celebrate a goal on the field, with one player jumping in the air and others embracing each other near the sideline. The background shows a crowd of spectators and sports advertisements.",0.7471907883882523,0.1405699849128723,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",0.7471907883882523,0.07795161008834839,0.6590026021003723
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",Advertising,"Two soccer players are competing for the ball on a rainy field. The player in white from Greece is falling to the ground, while the player in red, wearing number 15, is standing and watching the ball.",0.8267129212617874,0.0977397859096527,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",0.8267128467559814,0.17038768529891968,0.6427940726280212
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",Advertising,"Two soccer players in white jerseys from RB Leipzig are involved in a match, with one player attempting to tackle another wearing a red jersey who is seated on the grass, while a referee watches the action in the background.",0.8914926648139954,0.1361628770828247,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",0.8914930373430252,0.02256404235959053,0.6386406421661377
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",American cuisine,"A dining table is set for a meal with a variety of dishes including sliced turkey, peas, mashed potatoes, a green salad, deviled eggs, and cranberry sauce, all on a plaid tablecloth. Red plastic cups and white dinner plates are arranged at each place setting.",0.8469849079847336,0.3621209263801574,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",0.8469849079847336,0.23427164554595947,0.7055655121803284
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,American cuisine,"Chefs are busy in a professional kitchen, closely collaborating as they carefully arrange food on a long row of plates, preparing multiple identical dishes. The kitchen is well-equipped, bustling with activity, and the chefs are focused on their task.",0.7675421983003616,0.306918203830719,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",0.7675421237945557,0.2686084508895874,0.6939767003059387
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",American cuisine,"A dining table is set with a large roasted turkey as the centerpiece, surrounded by floral china plates, glassware, and a flower arrangement. A person is opening a bottle of champagne, and bookshelves filled with books are in the background under a blue pendant lamp.",1.0009519755840302,0.2042550146579742,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",1.000952124595642,0.10841216146945953,0.6999300718307495
"Oberaargletscher_from_Oberaar,_2010_07.jpeg",Body of water,"A glacier flows between steep, rocky mountains under a cloudy sky, leading into a greenish, glacier-fed lake in the foreground. Snow and ice are visible on the peaks and along the glacier's path, while the dark clouds lend a dramatic atmosphere to the scene.",0.8620770275592804,0.2257533967494964,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",0.8620771765708923,0.05214773863554001,0.6986868977546692
river.jpeg,Body of water,"A panoramic view showcases a lush, green valley with a winding river bordered by dense forests. In the background, cloud-covered mountains create a dramatic and tranquil landscape.",0.6653564423322678,0.1830538213253021,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",0.6653564423322678,0.2180483043193817,0.65964674949646
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",Body of water,"A scenic view of a large lake surrounded by mountains and greenery, with small towns nestled along the lake's edges. The sky is partly cloudy, adding depth to the landscape.",0.6532013416290283,0.2898988723754883,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",0.6532014906406403,0.08545190095901489,0.6866375803947449
Dreifaltigkeitskirche_süd.jpg,Building material,"A red brick church with a tall bell tower and pointed steeple, topped with a weather vane, stands under a clear blue sky. In the foreground, there is a cemetery with various gravestones of different shapes and colors.",0.6671639531850815,0.2332133203744888,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes.",0.6671639531850815,0.30106180906295776,0.6867542266845703
